2023-03-05 22:14:35.744 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - Starting DemoSlf4jApplication using Java 1.8.0_152 on LAPTOP-89JUTCMV with PID 24392 (D:\CS学习资料\dljd-springboot\demo-Slf4j\target\classes started by zhangchenwei in D:\CS学习资料\dljd-springboot\springboot-001)
2023-03-05 22:14:35.746 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-05 22:14:36.139 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-05 22:14:36.143 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-05 22:14:36.143 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-05 22:14:36.143 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-03-05 22:14:36.200 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-05 22:14:36.200 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 435 ms
2023-03-05 22:14:36.336 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-05 22:14:36.344 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-03-05 22:14:36.349 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - Started DemoSlf4jApplication in 0.816 seconds (JVM running for 1.358)
2023-03-05 22:14:38.721 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-05 22:14:38.721 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-05 22:14:38.721 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-03-05 22:14:38.730 [http-nio-8080-exec-1] INFO  com.zcw.demoslf4j.Controler.LogController - x = 1
2023-03-05 22:14:38.730 [http-nio-8080-exec-1] INFO  com.zcw.demoslf4j.Controler.LogController - y = 2
2023-03-05 22:15:11.306 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - Starting DemoSlf4jApplication using Java 1.8.0_152 on LAPTOP-89JUTCMV with PID 14548 (D:\CS学习资料\dljd-springboot\demo-Slf4j\target\classes started by zhangchenwei in D:\CS学习资料\dljd-springboot\springboot-001)
2023-03-05 22:15:11.308 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-05 22:15:11.756 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-05 22:15:11.760 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-05 22:15:11.760 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-05 22:15:11.760 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-03-05 22:15:11.818 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-05 22:15:11.818 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 484 ms
2023-03-05 22:15:11.954 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-05 22:15:11.962 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-03-05 22:15:11.967 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - Started DemoSlf4jApplication in 0.885 seconds (JVM running for 1.394)
2023-03-05 22:15:17.824 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-05 22:15:17.824 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-05 22:15:17.824 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-03-05 22:15:17.833 [http-nio-8080-exec-1] INFO  com.zcw.demoslf4j.Controler.LogController - x = 1
2023-03-05 22:15:17.833 [http-nio-8080-exec-1] INFO  com.zcw.demoslf4j.Controler.LogController - y = 2
2023-03-05 22:15:17.834 [http-nio-8080-exec-1] ERROR com.zcw.demoslf4j.Controler.LogController - There is an error[1 / 0]
