2023-05-01 02:06:17.040 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zcw.demoslf4j.testSLF4J], using SpringBootContextLoader
2023-05-01 02:06:17.050 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zcw.demoslf4j.testSLF4J]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-01 02:06:17.051 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zcw.demoslf4j.testSLF4J]: testSLF4J does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-01 02:06:17.192 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zcw.demoslf4j.DemoSlf4jApplication for test class com.zcw.demoslf4j.testSLF4J
2023-05-01 02:06:17.346 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-05-01 02:06:17.364 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@a8ef162, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2eea88a1, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7ac296f6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7fd7a283, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@22f59fa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@78fa769e, org.springframework.test.context.event.EventPublishingTestExecutionListener@16612a51, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@54e041a4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2c78324b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@79defdc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@18317edc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4e0ae11f, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@238d68ff]
2023-05-01 02:06:17.917 [main] INFO  com.zcw.demoslf4j.testSLF4J - Starting testSLF4J using Java 1.8.0_311 on LAPTOP-89JUTCMV with PID 29440 (started by zhangchenwei in D:\CS学习资料\dljd-springboot\demo-Slf4j)
2023-05-01 02:06:17.918 [main] INFO  com.zcw.demoslf4j.testSLF4J - No active profile set, falling back to 1 default profile: "default"
2023-05-01 02:06:19.727 [main] INFO  com.zcw.demoslf4j.testSLF4J - Started testSLF4J in 2.298 seconds (JVM running for 4.067)
2023-05-01 02:06:20.149 [main] INFO  com.zcw.demoslf4j.testSLF4J - i = 2
2023-05-01 02:12:13.078 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zcw.demoslf4j.SLF4j], using SpringBootContextLoader
