2023-03-05 21:53:28.069 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - Starting DemoSlf4jApplication using Java 1.8.0_152 on LAPTOP-89JUTCMV with PID 24764 (D:\CS学习资料\dljd-springboot\demo-Slf4j\target\classes started by zhangchenwei in D:\CS学习资料\dljd-springboot\springboot-001)
2023-03-05 21:53:28.070 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-05 21:53:28.466 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-03-05 21:53:28.469 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-03-05 21:53:28.469 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-05 21:53:28.469 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-03-05 21:53:28.521 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-05 21:53:28.521 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 429 ms
2023-03-05 21:53:28.657 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-03-05 21:53:28.665 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-03-05 21:53:28.670 [main] INFO  com.zcw.demoslf4j.DemoSlf4jApplication - Started DemoSlf4jApplication in 0.818 seconds (JVM running for 1.386)
2023-03-05 21:53:33.966 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-05 21:53:33.966 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-05 21:53:33.967 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-05 21:53:33.977 [http-nio-8080-exec-1] INFO  com.zcw.demoslf4j.Controler.LogController - x = 1
2023-03-05 21:53:33.977 [http-nio-8080-exec-1] INFO  com.zcw.demoslf4j.Controler.LogController - y = 2
